,name,artist,release_date,length,popularity,danceability,acousticness,energy,loudness,tempo,valence,url,image,audio
39,Vegas (From the Original Motion Picture Soundtrack ELVIS),ドージャ・キャット,2022-05-06,0.42430076262398225,0.824561403508772,0.7520661157024796,0.08696457539306102,0.43827160493827166,0.5255730251941656,0.6531932951410991,0.7214885954381753,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF,https://i.scdn.co/image/ab67616d0000b27329e2914af6e83df7e963d365,https://p.scdn.co/mp3-preview/d82f00d7dae8f764475569afdfb88984456c9efd?cid=18308f0d5b8049c89ee330d9cfa4bc58
40,Bam Bam (feat. Ed Sheeran),カミラ・カベロ,2022-04-07,0.5392351928391743,0.7017543859649122,0.6776859504132232,0.2040549415390142,0.5864197530864197,0.6389467702216329,0.12296593709706383,0.9807923169267707,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,https://p.scdn.co/mp3-preview/42bbfd5ee15fa7b66b39443aa6096427437053d7?cid=18308f0d5b8049c89ee330d9cfa4bc58
41,Die For You,ザ・ウィークエンド,2016-11-24,0.8080787532065437,0.736842105263158,0.39669421487603307,0.12434817263812564,0.32098765432098775,0.5645008524341731,0.43823956650181983,0.44297719087635057,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,なし
42,cómo dormiste?,Rels B,2022-08-04,0.07531966200425727,0.8070175438596492,0.46446280991735545,0.26692225222140514,0.1728395061728395,0.46107217275999235,0.379457800845452,0.5114045618247298,https://open.spotify.com/track/3fjN3y5x4hN53rykAN2LHQ,https://i.scdn.co/image/ab67616d0000b2730398d2406a0ff0ed7c7d4f52,https://p.scdn.co/mp3-preview/aa28e982f3421226c15781c41f7a90eae4c6940b?cid=18308f0d5b8049c89ee330d9cfa4bc58
43,Sweater Weather,The Neighbourhood,2013-04-19,0.7095727420227151,0.824561403508772,0.43966942148760346,0.055306393942285564,0.7561728395061731,0.9767948475089979,0.3600923795067653,0.3109243697478992,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://p.scdn.co/mp3-preview/387541e6cab7e39e27acdb2c80ae6274b1182836?cid=18308f0d5b8049c89ee330d9cfa4bc58
44,LOKERA,Rauw Alejandro,2022-07-25,0.4857671640013695,0.7719298245614035,0.8066115702479338,0.2354885968802097,0.7885802469135803,0.9912862284523584,0.18027877066705844,0.5294117647058824,https://open.spotify.com/track/79HZAZNnOE97rb2hnI0XQr,https://i.scdn.co/image/ab67616d0000b273012295fda22036d0b60efaa6,https://p.scdn.co/mp3-preview/3c744a8d3454db43a31c420fb46f46ef86a253d9?cid=18308f0d5b8049c89ee330d9cfa4bc58
45,Jimmy Cooks (feat. 21 Savage),ドレイク,2022-06-17,0.6002351878774046,0.8421052631578947,0.3024793388429753,8.082939944878837e-05,0.5493827160493829,0.7967418071604471,0.7017659827971731,0.2725090036014406,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,なし
46,Mary On A Cross,Ghost,2019-09-13,0.7314243751891676,0.7543859649122806,0.19834710743801665,0.0,0.8996913580246915,0.8196628149270695,0.40878747817003724,0.5066026410564227,https://open.spotify.com/track/2HZLXBOnaSRhXStMLrq9fD,https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025,なし
47,Ghost,ジャスティン・ビーバー,2021-03-19,0.2768568182156485,0.8070175438596492,0.42148760330578516,0.20742283318271373,0.654320987654321,0.7154764159878765,0.6041554456576738,0.36254501800720296,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,なし
48,La Corriente,バッド・バニー,2022-05-06,0.5010146818761443,0.8421052631578947,0.5239669421487604,0.2568185772903066,0.7237654320987656,0.9104944118204206,0.9482119832215313,0.5282112845138055,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,https://p.scdn.co/mp3-preview/5b652748ee9a5a10433e28fa0f63f365b8bf58c2?cid=18308f0d5b8049c89ee330d9cfa4bc58
49,Blinding Lights,ザ・ウィークエンド,2020-03-20,0.5093157223592222,0.824561403508772,0.2776859504132232,0.0013752224211773024,0.6373456790123457,0.6809054745216897,0.743255153503403,0.23409363745498202,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,なし
